anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,09H05214,UNIDAD EDUCATIVA PARTICULAR LA LUZ DE DIOS ,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,30
2023-2024 Inicio,17H00850,UNIDAD EDUCATIVA PARTICULAR LA PRESENTACION,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,68
2023-2024 Inicio,17H00828,UNIDAD EDUCATIVA PARTICULAR LA PROVIDENCIA,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,88
2023-2024 Inicio,21H00806,UNIDAD EDUCATIVA PARTICULAR LAGO AGRIO AMAZONICO,SUCUMBIOS,21,LAGO AGRIO,2101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,9
2023-2024 Inicio,17H01719,UNIDAD EDUCATIVA PARTICULAR LAS AMERICAS DEL VALLE,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,32
2023-2024 Inicio,17H00418,UNIDAD EDUCATIVA PARTICULAR LAS CUADRAS,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,9
2023-2024 Inicio,23H00377,UNIDAD EDUCATIVA PARTICULAR LATINO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"Educación Inicial, Educación General Básica y Bachillerato",Particular,41
2023-2024 Inicio,01H00265,UNIDAD EDUCATIVA PARTICULAR LATINOAMERICANO,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,59
2023-2024 Inicio,17H01099,UNIDAD EDUCATIVA PARTICULAR LEIBNITZ,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,17
2023-2024 Inicio,17H02956,UNIDAD EDUCATIVA PARTICULAR LEON COOPER,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,35
2023-2024 Inicio,13H02462,UNIDAD EDUCATIVA PARTICULAR LEONIE AVIAT,MANABI,13,MANTA,1308,"Educación Inicial, Educación General Básica y Bachillerato",Particular,14
2023-2024 Inicio,17H01427,UNIDAD EDUCATIVA PARTICULAR LETORT,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,70
2023-2024 Inicio,09H02115,UNIDAD EDUCATIVA PARTICULAR LETRAS Y VIDA,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,61
2023-2024 Inicio,01H00437,UNIDAD EDUCATIVA PARTICULAR LICEO AMERICANO CATÓLICO,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,62
2023-2024 Inicio,01H00312,UNIDAD EDUCATIVA PARTICULAR LICEO CRISTIANO DE CUENCA,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,33
2023-2024 Inicio,09H00973,UNIDAD EDUCATIVA PARTICULAR LICEO CRISTIANO DE GUAYAQUIL,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,407
2023-2024 Inicio,17H01075,UNIDAD EDUCATIVA PARTICULAR LICEO DE CIENCIAS Y ARTES,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,28
2023-2024 Inicio,23H00314,UNIDAD EDUCATIVA PARTICULAR LICEO DE LAS AMERICAS,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"Educación Inicial, Educación General Básica y Bachillerato",Particular,60
2023-2024 Inicio,11H01743,UNIDAD EDUCATIVA PARTICULAR LICEO DE LOJA,LOJA,11,LOJA,1101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,43
2023-2024 Inicio,17H01085,UNIDAD EDUCATIVA PARTICULAR LICEO DE LOS ANDES,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,4
