anio,cod_provincia,provincia,cod_canton,canton,ciiu,vab_miles_usd
2023,2.0,BOLÍVAR,202.0,CHILLANES,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",29492160.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,EXPLOTACIÓN DE MINAS Y CANTERAS,6800.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,MANUFACTURA,209350.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,931120.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,CONSTRUCCIÓN,2615370.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,COMERCIO,3430020.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",319870.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,ALOJAMIENTO Y SERVICIOS DE COMIDA,78800.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,ACTIVIDADES FINANCIERAS,1216160.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,374760.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,ADMINISTRACIÓN PÚBLICA,3605470.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,ENSEÑANZA,3967350.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,SALUD,375710.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,OTROS SERVICIOS,300740.0
2023,2.0,BOLÍVAR,202.0,CHILLANES,ECONOMÍA TOTAL,46923680.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",15460390.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,MANUFACTURA,93640.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,293150.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,CONSTRUCCIÓN,2949720.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,COMERCIO,3156710.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",711680.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,ALOJAMIENTO Y SERVICIOS DE COMIDA,47190.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,ACTIVIDADES FINANCIERAS,5092470.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,932830.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,ADMINISTRACIÓN PÚBLICA,3444330.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,ENSEÑANZA,2461540.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,SALUD,185580.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,OTROS SERVICIOS,783330.0
2023,2.0,BOLÍVAR,203.0,CHIMBO,ECONOMÍA TOTAL,35612560.0
2023,2.0,BOLÍVAR,204.0,ECHEANDÍA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",6327790.0
2023,2.0,BOLÍVAR,204.0,ECHEANDÍA,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,2.0,BOLÍVAR,204.0,ECHEANDÍA,MANUFACTURA,408450.0
2023,2.0,BOLÍVAR,204.0,ECHEANDÍA,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,329360.0
